file_name,precision,recall,f1,matched,ground_truth_count,predicted_count
Decision Trees Revised.pptx,0.0,0.0,0.0,0,8,4
HandsOn1_Window_Functions.md,0.0,0.0,0.0,0,8,3
Introduction to Pandas_.pptx,0.3333333333333333,0.125,0.18181818181818182,1,8,3
Lecture - Decision Trees.ipynb,0.3333333333333333,0.125,0.18181818181818182,1,8,3
Lecture - Pandas Basics.ipynb,0.0,0.0,0.0,0,7,3
Lecture_ML_Workflow.ipynb,0.14285714285714285,0.125,0.13333333333333333,1,8,7
ML Workflow Introduction.pptx,0.0,0.0,0.0,0,8,4
Prompt_Engineering.ipynb,0.25,0.125,0.16666666666666666,1,8,4
Retrieval_Augmented_Generation.ipynb,0.0,0.0,0.0,0,8,3
SQL_Foundations_for_Data_Science.pptx,0.0,0.0,0.0,0,8,3
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,0.0,0.0,0.0,0,8,4
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,0.0,0.0,0.0,0,8,3
