file_name,annotator_name,"predicted_tags (3-8, semicolon-separated, specific not broad)","proposed_competencies (1-3 skill names, COPIED EXACTLY from valid_taxonomy_skill_reference.csv)",difficulty_level (Beginner/Intermediate/Advanced only),confidence (0-1),notes (evidence for your calls + any ambiguity)
Decision Trees Revised.pptx,Lama,decision tree classification;numeric and categorical splits;root and leaf nodes;Gini impurity;entropy and information gain;max_depth and split controls;pruning;overfitting and underfitting,"Machine Learning (ML);Artificial intelligence, machine learning and deep learning application",Intermediate,0.99,"The deck teaches how decision trees ask feature-based questions, choose splits using Gini/entropy, handle numeric and ranked/categorical data, and stop growth using max_depth, min_samples_split, min_samples_leaf, and max_features. It also covers pre-/post-pruning, overfitting/underfitting, and reading plotted trees. Intermediate is based on the impurity criteria and tuning/pruning concepts, while the treatment remains conceptual rather than implementation-heavy."
HandsOn1_Window_Functions.md,Lama,OVER and window specifications;PARTITION BY;ORDER BY cumulative sums;ROWS moving windows;ROW_NUMBER and RANK;DENSE_RANK and LEAD/LAG;NTILE quartiles;window functions with subqueries and grouping,Data processing;Database management and configuration,Intermediate,0.98,"The SQL lab explicitly introduces window functions via OVER, then builds partitioned totals, cumulative sums, movable ROWS frames, and special functions ROW_NUMBER, RANK, DENSE_RANK, LEAD, LAG, and NTILE. Exercises combine window functions with subqueries and grouping. Intermediate reflects the multi-step SQL analytics and window-frame logic; Database management and configuration is included because the work is executed against created/used SQL databases and tables."
Introduction to Pandas_.pptx,Lama,Pandas Series;Pandas DataFrame;Series index and values;custom index labels;loc versus iloc;index immutability;duplicate index labels;set_index and MultiIndex,Data processing;Data preparation,Beginner,0.99,"The presentation introduces Pandas as a Python data tool, then teaches the two core structures, indexes, custom labels, duplicate-label behavior, set_index/MultiIndex, and label- versus position-based access. The scope is introductory and example-driven even though MultiIndex and index immutability add some intermediate terminology, so Beginner is the best overall evidence-based level."
Lecture - Decision Trees.ipynb,Lama,DecisionTreeRegressor;tree depth and underfitting;VotingRegressor;bootstrap bagging;Random Forest feature subsampling;gradient boosting;out-of-bag scoring;forest feature importance,"Machine Learning (ML);Data analytics;Artificial intelligence, machine learning and deep learning application",Advanced,0.99,"The notebook implements a full tree-based ensemble lesson on the Ames housing dataset: preprocessing, train/test splitting, regression trees, voting, bootstrap bagging, Random Forest, gradient boosting, out-of-bag scoring, feature subsampling, and feature-importance analysis. The combination of multiple ensemble families and implementation/evaluation details supports Advanced."
Lecture - Pandas Basics.ipynb,Lama,Series and DataFrame;shape head tail info describe;loc and iloc;boolean filtering;value_counts and groupby;missing-data checks and imputation;read_csv and to_csv,Data processing;Data preparation;Data analytics,Beginner,0.99,"The notebook is explicitly a Pandas foundations lesson and walks through inspecting a dataset, selecting rows/columns, boolean filters, category summaries, groupby aggregation, missing-value checks/drop/fill, and reading/writing CSV files. The exercises use direct, foundational operations without advanced reshaping or optimization, supporting Beginner."
Lecture_ML_Workflow.ipynb,Lama,supervised learning workflow;train-test split;Linear Regression;MAE RMSE and R-squared;predicted-versus-actual error analysis;joblib model persistence;K-Nearest Neighbors classification;confusion matrix precision recall and F1,Machine Learning (ML);Data analytics;Data preparation,Intermediate,0.99,"The notebook implements an end-to-end supervised ML workflow: define X/y, split train/test, fit Linear Regression, evaluate with MAE/RMSE/R-squared, inspect errors, save/reload with joblib, then classify Iris data with KNN and evaluate using a confusion matrix, precision, recall, and F1. It is more hands-on and technically detailed than the introductory slide deck, supporting Intermediate."
ML Workflow Introduction.pptx,Lama,load and label data;train-test split;KNN model training;test-set prediction;unseen-data preparation;feature engineering;confusion matrix precision recall and ROC;learning curves and feature importance,Machine Learning (ML);Data preparation;Data analytics,Beginner,0.98,"The slides present the ML workflow as an introductory sequence: load/label/explore data, split train/test, train KNN, predict, evaluate, prepare unseen data, and use predictions. The in-depth section adds data preparation, feature engineering, model evaluation/validation, confusion matrix, precision/recall, ROC, learning curves, feature importance, and deployment. The deck explicitly frames the code demo as a beginner ML process, so Beginner fits despite the breadth."
Prompt_Engineering.ipynb,Lama,chat roles and prompt templates;zero-shot prompting;few-shot prompting;prompt evaluation harness;chain-of-thought prompting;constrained decoding;schema-constrained JSON;multi-turn context and prompt chaining,"Natural language Processing (NLP);Artificial intelligence, machine learning and deep learning application",Advanced,0.99,"The notebook goes beyond prompt-writing basics: it builds an evaluation harness, compares zero-shot/few-shot strategies, uses system/user/assistant roles, explores chain-of-thought, implements constrained decoding and structured outputs, manages multi-turn context, and builds prompt chains. It also uses embeddings for dynamic few-shot retrieval and discusses production trade-offs. Advanced is supported by the implementation and evaluation depth."
Retrieval_Augmented_Generation.ipynb,Lama,document chunking;sentence-transformer embeddings;semantic retrieval and cosine similarity;grounded generation and citations;retrieval failure modes;Recall@k and MRR;chunk-size tuning;hybrid TF-IDF plus embedding retrieval,"Natural language Processing (NLP);Artificial intelligence, machine learning and deep learning application;Data processing",Advanced,0.99,"The notebook constructs and evaluates a full RAG pipeline: chunk documents, create embeddings, retrieve by similarity, generate grounded answers with citations, diagnose retrieval/context/citation failures, measure Recall@k and MRR, tune chunk size, test refusal behavior, and compare hybrid TF-IDF plus embedding retrieval. It also discusses vector databases, rerankers, and production monitoring. Advanced is supported by both implementation and evaluation complexity."
SQL_Foundations_for_Data_Science.pptx,Lama,DDL DML and DCL;SELECT WHERE ORDER BY LIMIT DISTINCT;NULL checks and filtering;INNER LEFT RIGHT FULL OUTER JOIN;GROUP BY and HAVING;COUNT SUM AVG MIN MAX;SQL feature engineering;UNION ALL and join fan-out,Data preparation;Database management and configuration;Data processing,Beginner,0.99,"The deck teaches foundational SQL commands and joins, filtering and sorting, aggregation with GROUP BY/HAVING, NULL handling, UNION/UNION ALL, and source-side feature engineering for ML datasets. Examples are direct and focused on core syntax and data preparation, with no advanced query optimization or complex SQL programming, supporting Beginner."
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,Lama,CRISP-DM phases;data science skill areas;traditional programming versus ML;supervised versus unsupervised learning;classification versus regression;NumPy boolean masks;rules-based decision making;ML use-case suitability,"Machine Learning (ML);Artificial intelligence, machine learning and deep learning application;Data analytics",Beginner,0.99,"The quiz assesses introductory ML literacy through CRISP-DM, the overlap of domain knowledge/statistics/programming, ML versus explicit rules, classification/regression, unsupervised clustering, NumPy boolean masks, and deciding whether a scenario has enough data and repeatable structure for ML. The scenarios require conceptual discrimination rather than model implementation or advanced mathematics, supporting Beginner."
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,Lama,single-tree interpretability;gradient boosting overfitting;CatBoost categorical encoding;LightGBM histogram-based training;leaf-wise tree growth;stacking with out-of-fold predictions;ensemble accuracy versus interpretability;training-cost trade-offs,"Machine Learning (ML);Artificial intelligence, machine learning and deep learning application;Data analytics",Advanced,0.98,"The quiz requires scenario-based understanding of specialized ensemble methods: interpretability of single trees versus large ensembles, boosting overfitting, CatBoost native categorical handling, LightGBM histogram/leaf-wise training, and stacking with out-of-fold predictions and cost/benefit trade-offs. These are specialized ensemble concepts rather than introductory ML vocabulary, supporting Advanced."
