file_name,content_type,ground_truth_tags,difficulty_level,notes
Decision Trees Revised.pptx,slide deck (text + 37 embedded images),"decision tree intuition; Gini impurity; entropy and information gain; root node / best split selection; Gini impurity worked calculation across candidate features; numeric feature threshold selection (sorted values, midpoint testing); max_depth; min_samples_split; min_samples_leaf; max_features; pre-pruning; post-pruning; overfitting vs underfitting; reading a plotted tree",Intermediate,"Starts from pure intuition (bird/animal, BTS example) but goes as far as computing Gini impurity and finding max_depth/min_samples_split with GridSearchCV -- borderline Beginner/Intermediate, leaning Intermediate. IMPORTANT: Slides 25–44 (How does it work?) contain a mix of editable text and embedded images. Several slides contain explanatory text, while the remaining slides present text primarily within images/screenshots. the actual worked Gini-impurity walkthrough (StatQuest video screenshots, heart-disease example) exists only as embedded images."
HandsOn1_Window_Functions.md,SQL hands-on exercise,"SQL window functions (OVER); PARTITION BY; ORDER BY; ROW_NUMBER; RANK; DENSE_RANK; LEAD; LAG; NTILE bucketing; cumulative/running totals; moving windows; moving averages; window functions vs GROUP BY; SQL aggregation; subqueries",Intermediate,"Assumes basic SQL (SELECT, GROUP BY) is already known and introduces analytic/window functions through partitioning, ordering, cumulative and moving calculations, ranking, lead/lag analysis, NTILE bucketing, and an interview-style LEAD exercise."
Introduction to Pandas_.pptx,slide deck,pandas Series basics; pandas DataFrame basics; Series-DataFrame relationship; custom index labels; duplicate index handling; set_index and MultiIndex; loc vs iloc,Beginner,"Pure foundational content, first exposure to Series/DataFrame/Index."
Lecture - Decision Trees.ipynb,Jupyter notebook,"Decision trees; decision tree regression; tree depth; IF/THEN decision rules; interaction and threshold-based modeling; underfitting and overfitting; ensemble learning; VotingRegressor; bagging and bootstrap aggregation; Random Forest; feature subsampling and de-correlation; Gradient Boosting; out-of-bag (OOB) scoring; feature importance",Intermediate,"Uses the Ames housing dataset with engineered features and the same preprocessing to introduce decision tree regression and ensemble methods. Covers voting, bagging, Random Forest, and Gradient Boosting, plus OOB scoring, feature subsampling, feature importance, and exercises on tree depth and forest size."
Lecture - Pandas Basics.ipynb,Jupyter notebook,"Pandas Series and DataFrame; DataFrame inspection (shape, head, tail, info, describe); column selection; loc vs iloc selection; boolean filtering with & and |; value_counts; groupby; groupby aggregation and summary statistics; missing-value checking; missing-value handling (dropna, fillna); reading CSV with read_csv; writing CSV with to_csv",Beginner,"Day 2 foundational pandas notebook using a retail price optimization dataset. Covers practical DataFrame and Series operations, inspection, selection, filtering, value_counts, grouping and aggregation, missing-value handling, and CSV input/output."
Lecture_ML_Workflow.ipynb,Jupyter notebook,"end-to-end machine learning workflow (frame/prepare/split/choose/fit/predict/evaluate/iterate); train/test split with train_test_split; feature and target preparation; Linear Regression; regression metrics (MAE, RMSE, R-squared); predicted vs actual error analysis; model persistence with joblib (save/reload); K-Nearest Neighbors (KNN) regression; feature scaling with StandardScaler; classification versus regression; K-Nearest Neighbors classification; confusion matrix; accuracy; precision; recall; F1",Beginner,"Day 5 introduces the end-to-end machine learning workflow using Linear Regression for retail demand prediction and KNN for regression and classification. It covers held-out evaluation, regression metrics, model persistence with joblib, feature scaling for KNN regression, and a first look at classification metrics and confusion matrices."
ML Workflow Introduction.pptx,slide deck,"ML workflow steps (load, label, explore, split, train, predict, evaluate, deploy); KNN classifier code walkthrough; data-collection-to-deployment pipeline; feature engineering overview; model evaluation (confusion matrix, precision/recall, ROC); overfitting and learning curves; feature importance and interpretation",Beginner,Slide 17 literally labels the walkthrough 'Machine Learning Process - Beginner'.
Prompt_Engineering.ipynb,Jupyter notebook,"chat roles and prompt templates; zero-shot prompting; system prompts; few-shot / in-context learning; chain-of-thought prompting; prompt evaluation harness and parse-failure rate; structured outputs and JSON parsing; constrained decoding; multi-turn context management; prompt chaining; embedding-based dynamic few-shot selection; prompt token cost and latency evaluation",Intermediate,"Uses HuggingFace transformers with Qwen3-1.7B and a formal evaluation harness on a real sentiment-classification task. Compares prompting strategies against the Week 4 TF-IDF plus logistic-regression baseline and introduces structured outputs, constrained decoding, conversation context, prompt chaining, and dynamic few-shot selection."
Retrieval_Augmented_Generation.ipynb,Jupyter notebook,"RAG pipeline overview (index/retrieve/generate); document chunking and overlap; embedding-based retrieval; retrieve-then-generate loop; similarity thresholds and relevance floors; citation and grounding; retrieval failure vs generation failure; citation checking; separate retrieval and generation evaluation; Recall@k and MRR; chunk-size evaluation; refusal evaluation for unanswerable questions; hybrid retrieval with TF-IDF and embeddings",Advanced,"Directly builds on the Prompt Engineering notebook and the earlier Introduction to Generative AI notebook. Implements a complete RAG system with chunking, embedding retrieval, grounded generation and citations, then evaluates retrieval and generation separately through retrieval metrics, chunk-size experiments, refusal testing, and hybrid search."
SQL_Foundations_for_Data_Science.pptx,slide deck,"DDL vs DML vs DCL; SELECT/WHERE/ORDER BY/LIMIT filtering; JOIN types (INNER, LEFT, RIGHT, FULL OUTER); GROUP BY and HAVING aggregation; SQL-based feature engineering; multi-table joins for a training set",Intermediate,"Framed as 'Week 6', assumes basic SQL syntax and pushes into joins/aggregation for ML feature engineering specifically."
