file_name,num_gold_competencies,gold_competencies,top_5_predictions,retrieved_gold,missed_gold,hit@1,hit@3,hit@5,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,f1@1,f1@3,f1@5,MRR
Decision Trees Revised.pptx,2,"Artificial intelligence, machine learning and deep learning application | Machine Learning (ML)","Artificial intelligence, machine learning and deep learning application | Machine Learning (ML) | Data processing | Data analytics | Knowledge of big data tools and platforms","artificial intelligence, machine learning and deep learning application | machine learning (ml)",,1,1,1,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,0.6666666666666666,0.8,0.5714285714285715,1.0
HandsOn1_Window_Functions.md,2,Data analytics | Data processing,Data processing | Database management and configuration | Data preparation | Data warehousing | Data design,data processing,Data analytics,1,1,1,1.0,0.3333333333333333,0.2,0.5,0.5,0.5,0.6666666666666666,0.4,0.28571428571428575,1.0
Introduction to Pandas\_.pptx,3,Data analytics | Data preparation | Data processing,Data processing | Data analytics | Data preparation | Data warehousing | Data management,data processing | data analytics | data preparation,,1,1,1,1.0,1.0,0.6,0.3333333333333333,1.0,1.0,0.5,1.0,0.7499999999999999,1.0
Lecture - Decision Trees.ipynb,3,"Artificial intelligence, machine learning and deep learning application | Data analytics | Machine Learning (ML)","Artificial intelligence, machine learning and deep learning application | Machine Learning (ML) | Data processing | Artificial intelligence application in product development | Database modelling","artificial intelligence, machine learning and deep learning application | machine learning (ml)",Data analytics,1,1,1,1.0,0.6666666666666666,0.4,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5,1.0
Lecture - Pandas Basics.ipynb,4,Data analytics | Data cleaning | Data preparation | Data processing,Data collection and analysis | Data processing | Data preparation | Data analytics | Data visualisation and storyboarding,data processing | data preparation | data analytics,Data cleaning,0,1,1,0.0,0.6666666666666666,0.6,0.0,0.5,0.75,0.0,0.5714285714285715,0.6666666666666665,0.5
Lecture_ML_Workflow\.ipynb,4,"Artificial intelligence, machine learning and deep learning application | Data analytics | Data preparation | Machine Learning (ML)","Machine Learning (ML) | Artificial intelligence, machine learning and deep learning application | Data processing | Automation tool proficiency | Programming","machine learning (ml) | artificial intelligence, machine learning and deep learning application",Data preparation | Data analytics,1,1,1,1.0,0.6666666666666666,0.4,0.25,0.5,0.5,0.4,0.5714285714285715,0.4444444444444445,1.0
ML Workflow Introduction.pptx,4,"Artificial intelligence, machine learning and deep learning application | Data analytics | Data preparation | Machine Learning (ML)","Artificial intelligence, machine learning and deep learning application | Machine Learning (ML) | Data preparation | Data processing | Data analytics","artificial intelligence, machine learning and deep learning application | machine learning (ml) | data preparation | data analytics",,1,1,1,1.0,1.0,0.8,0.25,0.75,1.0,0.4,0.8571428571428571,0.888888888888889,1.0
Prompt_Engineering.ipynb,2,"Artificial intelligence, machine learning and deep learning application | Natural language Processing (NLP)","Natural language Processing (NLP) | Data processing | Database modelling | Artificial intelligence, machine learning and deep learning application | Machine Learning (ML)","natural language processing (nlp) | artificial intelligence, machine learning and deep learning application",,1,1,1,1.0,0.3333333333333333,0.4,0.5,0.5,1.0,0.6666666666666666,0.4,0.5714285714285715,1.0
Retrieval_Augmented_Generation.ipynb,3,"Artificial intelligence, machine learning and deep learning application | Knowledge management systems | Natural language Processing (NLP)","Machine Learning (ML) | Data processing | Artificial intelligence, machine learning and deep learning application | Emerging technology synthesis | Natural language Processing (NLP)","artificial intelligence, machine learning and deep learning application | natural language processing (nlp)",Knowledge management systems,0,1,1,0.0,0.3333333333333333,0.4,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5,0.3333333333333333
SQL_Foundations_for_Data_Science.pptx,3,Data analytics | Data preparation | Data processing,Data processing | Data engineering | Data preparation | Data design | Database modelling,data processing | data preparation,Data analytics,1,1,1,1.0,0.6666666666666666,0.4,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5,1.0
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,2,"Artificial intelligence, machine learning and deep learning application | Machine Learning (ML)","Machine Learning (ML) | Artificial intelligence, machine learning and deep learning application | Data processing | Data analytics | Database modelling","machine learning (ml) | artificial intelligence, machine learning and deep learning application",,1,1,1,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,0.6666666666666666,0.8,0.5714285714285715,1.0
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,2,"Artificial intelligence, machine learning and deep learning application | Machine Learning (ML)","Machine Learning (ML) | Artificial intelligence, machine learning and deep learning application | Data processing | Data analytics | Artificial intelligence application in product development","machine learning (ml) | artificial intelligence, machine learning and deep learning application",,1,1,1,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,0.6666666666666666,0.8,0.5714285714285715,1.0
