file_name,predicted_tag_count,ground_truth_tag_count,matched,false_positives,missed,precision,recall,f1,matched_tags,missed_tags
Decision Trees Revised.pptx,5,15,8,0,7,1.0,0.533,0.696,Gini impurity; entropy and information gain; pre-pruning; post-pruning; max_depth tuning; min_samples_split; min_samples_leaf; reading a plotted tree,decision tree intuition; root node/best split selection; Gini impurity worked calculation; numeric feature threshold selection; recursive tree construction; max_features; overfitting vs underfitting
HandsOn1_Window_Functions.md,5,7,5,0,2,1.0,0.714,0.833,OVER clause; PARTITION BY; ROW_NUMBER/RANK/DENSE_RANK; LEAD and LAG; NTILE bucketing,moving/cumulative window aggregates; window functions vs GROUP BY
Introduction to Pandas_.pptx,5,7,5,0,2,1.0,0.714,0.833,Series-DataFrame relationship; custom index labels; duplicate index handling; set_index/MultiIndex; loc vs iloc,pandas Series basics; pandas DataFrame basics
Lecture - Decision Trees.ipynb,5,10,6,0,4,1.0,0.6,0.75,bagging; Random Forest; feature subsampling/de-correlation; Gradient Boosting basics; OOB scoring; feature importance interpretation,DecisionTreeRegressor; voting ensembles; bias-variance tradeoff; sklearn Pipeline with ColumnTransformer
Lecture - Pandas Basics.ipynb,5,7,5,0,2,1.0,0.714,0.833,DataFrame inspection; boolean filtering with & and |; groupby aggregation; value_counts; missing-value handling,loc vs iloc selection; reading/writing CSV
Lecture_ML_Workflow.ipynb,5,8,6,0,2,1.0,0.75,0.857,train/test split; Linear Regression; model persistence with joblib; KNN classification; confusion matrix; precision/recall/F1,"end-to-end ML workflow framing; regression metrics (MAE, RMSE, R2)"
ML Workflow Introduction.pptx,5,7,5,0,2,1.0,0.714,0.833,ML workflow steps; KNN classifier code walkthrough; model evaluation (confusion matrix/precision-recall/ROC); overfitting and learning curves; feature engineering overview,data-collection-to-deployment pipeline; feature importance and interpretation
Prompt_Engineering.ipynb,5,8,6,0,2,1.0,0.75,0.857,zero-shot prompting; few-shot/in-context learning; chain-of-thought prompting; structured output/constrained decoding; prompt evaluation harness; prompt chaining,chat roles and prompt templates; embedding-based dynamic few-shot selection
Retrieval_Augmented_Generation.ipynb,5,7,6,0,1,1.0,0.857,0.923,document chunking; embedding-based retrieval; retrieve-then-generate loop; retrieval failure vs generation failure; citation and grounding; separate RAG evaluation,RAG pipeline overview (index/retrieve/generate framing)
SQL_Foundations_for_Data_Science.pptx,4,6,4,0,2,1.0,0.667,0.8,JOIN types; GROUP BY and HAVING; SELECT/WHERE/ORDER BY/LIMIT filtering; SQL-based feature engineering,DDL vs DML vs DCL; multi-table joins for a training set
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,5,7,5,0,2,1.0,0.714,0.833,CRISP-DM framework; supervised vs unsupervised learning; classification vs regression; NumPy boolean masking; rules-based vs ML approach selection,overlapping data science skill areas; ML vs traditional programming
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,5,5,5,0,0,1.0,1.0,1.0,decision tree interpretability vs accuracy tradeoff; gradient boosting overfitting pattern; CatBoost categorical handling; LightGBM histogram-based speed optimization; stacking diminishing returns,(none)
