file_name,ground_truth_competencies,predicted_competencies,matched_competencies,missed_competencies,false_positive_competencies,first_match_rank,top1_match,top3_match,top5_match,precision,recall,f1,reciprocal_rank
Decision Trees Revised.pptx,"Machine Learning (ML); Artificial intelligence, machine learning and deep learning application","Artificial intelligence, machine learning and deep learning application; Machine Learning (ML); Data processing; Data analytics; Knowledge of big data tools and platforms","Artificial intelligence, machine learning and deep learning application; Machine Learning (ML)",,Data processing; Data analytics; Knowledge of big data tools and platforms,1,1,1,1,0.4,1.0,0.5714285714285715,1.0
HandsOn1_Window_Functions.md,Data processing; Database management and configuration,Data processing; Database management and configuration; Data preparation; Data warehousing; Data design,Data processing; Database management and configuration,,Data preparation; Data warehousing; Data design,1,1,1,1,0.4,1.0,0.5714285714285715,1.0
Introduction to Pandas_.pptx,Data processing; Data preparation,Data processing; Data analytics; Data preparation; Data warehousing; Data management,Data processing; Data preparation,,Data analytics; Data warehousing; Data management,1,1,1,1,0.4,1.0,0.5714285714285715,1.0
Lecture - Decision Trees.ipynb,"Machine Learning (ML); Data analytics; Artificial intelligence, machine learning and deep learning application","Artificial intelligence, machine learning and deep learning application; Machine Learning (ML); Data processing; Artificial intelligence application in product development; Database modelling","Artificial intelligence, machine learning and deep learning application; Machine Learning (ML)",Data analytics,Data processing; Artificial intelligence application in product development; Database modelling,1,1,1,1,0.4,0.6666666666666666,0.5,1.0
Lecture - Pandas Basics.ipynb,Data processing; Data preparation; Data analytics,Data collection and analysis; Data processing; Data preparation; Data analytics; Data visualisation and storyboarding,Data processing; Data preparation; Data analytics,,Data collection and analysis; Data visualisation and storyboarding,2,0,1,1,0.6,1.0,0.7499999999999999,0.5
Lecture_ML_Workflow.ipynb,Machine Learning (ML); Data analytics; Data preparation,"Machine Learning (ML); Artificial intelligence, machine learning and deep learning application; Data processing; Automation tool proficiency; Programming",Machine Learning (ML),Data analytics; Data preparation,"Artificial intelligence, machine learning and deep learning application; Data processing; Automation tool proficiency; Programming",1,1,1,1,0.2,0.3333333333333333,0.25,1.0
ML Workflow Introduction.pptx,Machine Learning (ML); Data preparation; Data analytics,"Artificial intelligence, machine learning and deep learning application; Machine Learning (ML); Data preparation; Data processing; Data analytics",Machine Learning (ML); Data preparation; Data analytics,,"Artificial intelligence, machine learning and deep learning application; Data processing",2,0,1,1,0.6,1.0,0.7499999999999999,0.5
Prompt_Engineering.ipynb,"Natural language Processing (NLP); Artificial intelligence, machine learning and deep learning application","Natural language Processing (NLP); Data processing; Database modelling; Artificial intelligence, machine learning and deep learning application; Machine Learning (ML)","Natural language Processing (NLP); Artificial intelligence, machine learning and deep learning application",,Data processing; Database modelling; Machine Learning (ML),1,1,1,1,0.4,1.0,0.5714285714285715,1.0
Retrieval_Augmented_Generation.ipynb,"Natural language Processing (NLP); Artificial intelligence, machine learning and deep learning application; Data processing","Machine Learning (ML); Data processing; Artificial intelligence, machine learning and deep learning application; Emerging technology synthesis; Natural language Processing (NLP)","Data processing; Artificial intelligence, machine learning and deep learning application; Natural language Processing (NLP)",,Machine Learning (ML); Emerging technology synthesis,2,0,1,1,0.6,1.0,0.7499999999999999,0.5
SQL_Foundations_for_Data_Science.pptx,Data preparation; Database management and configuration; Data processing,Data processing; Data engineering; Data preparation; Data design; Database modelling,Data processing; Data preparation,Database management and configuration,Data engineering; Data design; Database modelling,1,1,1,1,0.4,0.6666666666666666,0.5,1.0
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,"Machine Learning (ML); Artificial intelligence, machine learning and deep learning application; Data analytics","Machine Learning (ML); Artificial intelligence, machine learning and deep learning application; Data processing; Data analytics; Database modelling","Machine Learning (ML); Artificial intelligence, machine learning and deep learning application; Data analytics",,Data processing; Database modelling,1,1,1,1,0.6,1.0,0.7499999999999999,1.0
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,"Machine Learning (ML); Artificial intelligence, machine learning and deep learning application; Data analytics","Machine Learning (ML); Artificial intelligence, machine learning and deep learning application; Data processing; Data analytics; Artificial intelligence application in product development","Machine Learning (ML); Artificial intelligence, machine learning and deep learning application; Data analytics",,Data processing; Artificial intelligence application in product development,1,1,1,1,0.6,1.0,0.7499999999999999,1.0
