skill_name_en,description_en,subsector_en,related_job_families_en,needs_review
3D modelling,Generate 3D models using a variety of modelling software to represent characteristics of a real-world system,Information Technology; Communications,Data & AI; Design and Animation; Quality; R&D and Product Development; Software,
3D software development,"Employ multiple 3-D frameworks and libraries, build a graphical user interface (GUI), develop complex 3-D software with documentation generated using applicable tools and integrate multiple data sources into interactive 3-D environments. It also includes the skills and knowledge required to investigate, customize and use 3-D animation software interfaces and toolsets and reviewing the developed software",Information Technology; Communications,Design and Animation; Software,
5G RAN architecture,"Deep understanding of 5G RAN architecture, including the O-RAN architecture, and the various components that make up the 5G RAN system, such as the O-RU, O-DU, and O-CU. It requires knowledge of the 3GPP standards that define the 5G RAN architecture, as well as experience in designing and implementing 5G RAN systems",Information Technology; Communications,Telecom Engineering,
Agile and DevOps methodology application,"Evaluate and determine required traditional and non-traditional systems development methodologies for use by a team and to lead the rapid application development (RAD) process by analyzing and adopting agile methods. It also includes skills required to build and deploy cloud-based applications using continuous integration (CI) and continuous delivery (CD) pipelines in a range of contexts. It includes using each stage of the CI/CD automation process to build, test and merge applications, specifically in cloud-based environments",Information Technology; Communications,Data and AI; Infrastructure; Quality; Software,
Agile software development,"Plan and implement Agile methodology and the use of adaptive and iterative methods and techniques in the software development lifecycle to account for continuous evolution, development, and deployment to enable seamless delivery of the application to the end user",Information Technology; Communications,Pre-sales; Quality; R&D and Product Development; Software; Telecom Engineering,
AI ethics and governance,AI Ethics and Governance involves developing and implementing frameworks to ensure responsible and accountable use of artificial intelligence technologies,Information Technology; Communications,Data and AI; Quality; R&D and Product Development,
Animation development,Designing and developing animated and interactive systems such as games and simulations,Information Technology; Communications,Design and Animation; Software,
Antenna installation,"Install and test a communications antenna and feedline on a range of fixed or mobile structures according to plans, specifications and site-specific requirements",Information Technology; Communications,Infrastructure; Operations; Telecom Engineering,
Applications development,"Develop applications based on design specifications, including coding, testing, debugging, documentation, and refinement, following standards for development and security. Applications may range in complexity, incorporating features like predictive analytics, geo-spatial capabilities, and advanced algorithms. Technical skills include analyzing and enhancing existing or new application components.",Information Technology; Communications,Infrastructure; Operations; Quality; R&D and Product Development; Software,
Applications integration,"Integrate data or functions from one application program with that of another application program - involves development of an integration plan, programming and the identification and utilization of appropriate middleware to optimize the connectivity and performance of disparate applications across target environments",Information Technology; Communications,Infrastructure; Operations; R&D and Product Development; Software; Telecom Engineering,
Applications support and enhancement,"Provide ongoing technical support and improvements to users of applications. This includes technical guidance and assistance related to the installation and maintenance of applications, fixing and resolution of application problems or disruptions, and response to change requests that will enhance the operations and usage of an application",Information Technology; Communications,Operations; R&D and Product Development; Software,
Artificial intelligence application in product development,Utilizing AI algorithms and techniques to enhance and streamline the process of creating and improving digital products and services,Information Technology; Communications,Data and AI; R&D and Product Development; Software,
"Artificial intelligence, machine learning and deep learning application","Identify opportunities where artificial intelligence (AI), machine learning (ML) and deep learning (DL) can be applied to support the automation of work tasks and improve organizational productivity and use machine learning (ML) principles and techniques to support the automation of procedural tasks and improve organizational productivity and evaluate these ML models",Information Technology; Communications,Data and AI; Software,
Audit and compliance,Develop compliance processes and audit strategy for the organization to review adherence to statutory regulatory and standards. Assessment and enhancement of the thoroughness of compliance and/or governance processes and organization's internal controls to align with changing compliance standards. This also includes the actual conduct and/or performance of audit activities,Information Technology; Communications,"Data Protection and Cybersecurity; Governance, Risk and Compliance; Infrastructure; Operations; R&D and Product Development; Sales and Marketing",
Automation tool proficiency,"Expertise in utilizing automation tools such as Automation Anywhere, Blue Prism, and UiPath to streamline processes, enhance efficiency, and reduce errors within business operations",Information Technology; Communications,Business Processes; Software,
