file_name,weight_e5,weight_lexical,gold_count,hits,recall_at_10,hit_at_10,top10
Decision Trees Revised.pptx,1.0,0.0,3,1,0.3333333333333333,1,Machine Learning (ML) | Natural language Processing (NLP) | Data sharing | Database modelling | Communication systems and protocols design | Pre-sales preparation | Knowledge of big data tools and platforms | 3D modelling | Energy management and efficiency | Quantum mechanics
Decision Trees Revised.pptx,0.9,0.1,3,1,0.3333333333333333,1,Machine Learning (ML) | Natural language Processing (NLP) | Data sharing | Database modelling | Communication systems and protocols design | Pre-sales preparation | Knowledge of big data tools and platforms | 3D modelling | Energy management and efficiency | Quantum mechanics
Decision Trees Revised.pptx,0.8,0.2,3,2,0.6666666666666666,1,"Machine Learning (ML) | Natural language Processing (NLP) | Data sharing | Database modelling | Communication systems and protocols design | Pre-sales preparation | Knowledge of big data tools and platforms | 3D modelling | Energy management and efficiency | Artificial intelligence, machine learning and deep learning application"
Decision Trees Revised.pptx,0.7,0.3,3,2,0.6666666666666666,1,"Machine Learning (ML) | Natural language Processing (NLP) | Data sharing | Database modelling | Communication systems and protocols design | Pre-sales preparation | Knowledge of big data tools and platforms | 3D modelling | Energy management and efficiency | Artificial intelligence, machine learning and deep learning application"
Decision Trees Revised.pptx,0.6,0.4,3,2,0.6666666666666666,1,"Machine Learning (ML) | Natural language Processing (NLP) | Data sharing | Database modelling | Communication systems and protocols design | Pre-sales preparation | Knowledge of big data tools and platforms | Artificial intelligence, machine learning and deep learning application | Energy management and efficiency | 3D modelling"
Decision Trees Revised.pptx,0.5,0.5,3,2,0.6666666666666666,1,"Machine Learning (ML) | Natural language Processing (NLP) | Data sharing | Database modelling | Communication systems and protocols design | Pre-sales preparation | Artificial intelligence, machine learning and deep learning application | Knowledge of big data tools and platforms | Quantum mechanics | Energy management and efficiency"
HandsOn1_Window_Functions.md,1.0,0.0,3,1,0.3333333333333333,1,Cloud computing | Pre-sales preparation | Data warehousing | Web pages optimization | Operating systems management | Database management and configuration | Data sharing | Network and data security | Software development and integration | IoT tech design and development
HandsOn1_Window_Functions.md,0.9,0.1,3,1,0.3333333333333333,1,Cloud computing | Pre-sales preparation | Data warehousing | Web pages optimization | Operating systems management | Database management and configuration | Data sharing | Network and data security | Software development and integration | IoT tech design and development
HandsOn1_Window_Functions.md,0.8,0.2,3,1,0.3333333333333333,1,Cloud computing | Pre-sales preparation | Data warehousing | Web pages optimization | Operating systems management | Database management and configuration | Data sharing | Network and data security | Software development and integration | Programming
HandsOn1_Window_Functions.md,0.7,0.3,3,1,0.3333333333333333,1,Cloud computing | Pre-sales preparation | Data warehousing | Web pages optimization | Operating systems management | Database management and configuration | Data sharing | Network and data security | Software development and integration | Programming
HandsOn1_Window_Functions.md,0.6,0.4,3,1,0.3333333333333333,1,Cloud computing | Pre-sales preparation | Data warehousing | Operating systems management | Web pages optimization | Database management and configuration | Data sharing | Network and data security | Programming | Software development and integration
